Index,English Discription,Chinese Description,Region,Spicy,Sour,Vegetarian,Beef,Chicken,Pork,Fish,Halal,Rice,Noodle,Bun,Soup,Salad
43,"Set 12 w 1 Bun (Fish Flavored Shredded Pork,  Double Cooked Sliced Pork, Shredded Kelp with Soy Sauce)",????\n???\n?????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,"Set 12 w 2 Buns (Fish Flavored Shredded Pork,  Double Cooked Sliced Pork, Shredded Kelp with Soy Sauce)",????\n???\n?????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45,"Set 12 w Rice (Fish Flavored Shredded Pork,  Double Cooked Sliced Pork, Shredded Kelp with Soy Sauce)",????\n???\n?????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,"Set 13 w 1 Bun (Vermicelli with minced pork, Fish Flavored Shredded Pork,  Sweet & Sour Cabbage)",????\n????\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,"Set 13 w 2 Buns (Vermicelli with minced pork, Fish Flavored Shredded Pork,  Sweet & Sour Cabbage)",????\n????\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,"Set 13 w Rice (Vermicelli with minced pork, Fish Flavored Shredded Pork,  Sweet & Sour Cabbage)",????\n????\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,"Set 14 w 1 Bun (Vermicelli with minced pork, Double Cooked Sliced Pork, Fried Amaranth)",????\n???\n???,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
50,"Set 14 w 2 Buns (Vermicelli with minced pork, Double Cooked Sliced Pork, Fried Amaranth)",????\n???\n???,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
51,"Set 14 w Rice (Vermicelli with minced pork, Double Cooked Sliced Pork, Fried Amaranth)",????\n???\n???,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
52,"Set 15 w 1 Bun (Braised Beef w Potato, Braised Fish Fillets, Shredded Kelp with Soy Sauce)",?????\n????\n?????,Chinese,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
53,"Set 15 w 2 Buns (Braised Beef w Potato, Braised Fish Fillets, Shredded Kelp with Soy Sauce)",?????\n????\n?????,Chinese,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
54,"Set 15 w Rice (Braised Beef w Potato, Braised Fish Fillets, Shredded Kelp with Soy Sauce)",?????\n????\n?????,Chinese,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
55,"Set 16 w 1 Bun (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth)",???\n?????\n???,Chinese,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
56,"Set 16 w 2 Buns (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth",???\n?????\n???,Chinese,3,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
57,"Set 16 w Rice (Chicken Leg, Sour&Spicy Potato Slices, Fried Amaranth",???\n?????\n???,Chinese,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
58,"Set 17 w 1 Bun (Fish Flavored Shredded Pork,  Cumin Beef,  Green pepper with Beancurd skin",????\n????\n????,Chinese,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,"Set 17 w 2 Buns (Fish Flavored Shredded Pork,  Cumin Beef,  Green pepper with Beancurd skin",????\n????\n????,Chinese,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,"Set 18 w 2 Buns (Double Cooked Sliced Pork, Kung Pao Chicken,  Fried Chinese cabbage",???\n????\n????,Chinese,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
61,"Set 18 w Rice (Double Cooked Sliced Pork, Kung Pao Chicken,  Fried Chinese cabbage",???\n????\n????,Chinese,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
62,"Set 19 w 1 Bun (Cumin Beef, Fried Cucumber with eggs, Sweet & Sour Cabbage",????\n????\n????,Chinese,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
63,"Set 19 w Rice (Cumin Beef, Fried Cucumber with eggs, Sweet & Sour Cabbage",????\n????\n????,Chinese,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
64,"Set 2 w 1 Bun (Fish Flavored Shredded Pork,  Home-Style Bean Curd,  Lotus Root",????\n????\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,"Set 2 w 2 Buns (Fish Flavored Shredded Pork,  Home-Style Bean Curd,  Lotus Root",????\n????\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66,"Set 2 w Rice (Fish Flavored Shredded Pork,  Home-Style Bean Curd,  Lotus Root",????\n????\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,"Set 20 w 1 Bun (Sliced Fungus with Meat, Double Cooked Sliced Pork, Mixed shreds",????\n???\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
68,"Set 20 w 2 Buns (Sliced Fungus with Meat, Double Cooked Sliced Pork, Mixed shreds",????\n???\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
69,"Set 21 w 2 Buns (Sliced Fungus with Meat, Fish Flavored Shredded Pork, Green pepper with Beancurd skin",????\n????\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,"Set 21 w Rice (Sliced Fungus with Meat, Fish Flavored Shredded Pork, Green pepper with Beancurd skin",????\n????\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,"Set 22 w 1 Bun (Vermicelli with minced pork, Double Cooked Sliced Pork, Sweet & Sour Cabbage",????\n???\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
72,"Set 22 w Rice (Vermicelli with minced pork, Double Cooked Sliced Pork, Sweet & Sour Cabbage",????\n???\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
73,"Set 23 w 1 Bun (Vermicelli with minced pork, Fried Cucumber with eggs, Mixed shreds",????\n????\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
74,"Set 23 w 2 Buns (Vermicelli with minced pork, Fried Cucumber with eggs, Mixed shreds",????\n????\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
75,"Set 24 w 1 Bun (Cumin Beef, Kung Pao Chicken, Fried Chinese cabbage",????\n????\n????,Chinese,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
76,"Set 24 w Rice (Cumin Beef, Kung Pao Chicken, Fried Chinese cabbage",????\n????\n????,Chinese,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
77,"Set 3 w 1 Bun (Sauteed Sour Beans with Minced Pork, Fried Cucumber with Eggs, Dry Tofu with Celery",?????\n????\n????,Chinese,0,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
78,"Set 3 w 2 Buns (Sauteed Sour Beans with Minced Pork, Fried Cucumber with Eggs, Dry Tofu with Celery",?????\n????\n????,Chinese,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
79,"Set 3 w Rice (Sauteed Sour Beans with Minced Pork, Fried Cucumber with Eggs, Dry Tofu with Celery",?????\n????\n????,Chinese,0,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
80,"Set 4 w 1 Bun (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",????\n???\n?????,Chinese,1,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
81,"Set 4 w 2 Buns (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",????\n???\n?????,Chinese,2,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
82,"Set 4 w Rice (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",????\n???\n?????,Chinese,3,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
83,"Set 5 w 1 Bun (Sweet & Sour Pork, Fish Flavored Shredded Pork,  Lotus Root",????\n???\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84,"Set 5 w 2 Buns (Sweet & Sour Pork, Fish Flavored Shredded Pork,  Lotus Root",????\n???\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85,"Set 5 w Rice (Sweet & Sour Pork, Fish Flavored Shredded Pork,  Lotus Root",????\n???\n????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,"Set 6 w 1 Bun (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",???\n????\n?????,Chinese,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
87,"Set 6 w 2 Buns (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",???\n????\n?????,Chinese,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
88,"Set 6 w Rice (Sweet & Sour Pork, Home-Style Bean Curd, Sour & Spicy Potato Slices",???\n????\n?????,Chinese,3,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
89,"Set 7 w 1 Bun (Braised Fish Fillets, Fried Cucumber with Eggs, Fried Black Fungus with Cabbage",????\n????\n?????,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
90,"Set 7 w 2 Buns (Braised Fish Fillets, Fried Cucumber with Eggs, Fried Black Fungus with Cabbage",????\n????\n?????,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
91,"Set 7 w Rice (Braised Fish Fillets, Fried Cucumber with Eggs, Fried Black Fungus with Cabbage",????\n????\n?????,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
92,"Set 8 w 1 Bun (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",?????\n?????\n?????,Chinese,0,3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
93,"Set 8 w 2 Buns (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",?????\n?????\n?????,Chinese,0,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
94,"Set 8 w Rice (Braised Beef w Potato, Sauteed Sour Beans with Minced Pork, Fried Black Fungus with Cabbage",?????\n?????\n?????,Chinese,0,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
95,"Set 9 w 1 Bun (Kung Pao Chicken, Braised Beef w Potato, Sweet&Sour Cabbage",????\n?????\n????,Chinese,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
96,"Set 9 w 2 Buns (Kung Pao Chicken, Braised Beef w Potato, Sweet&Sour Cabbage",????\n?????\n????,Chinese,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
97,"Set 9 w Rice (Kung Pao Chicken, Braised Beef w Potato, Sweet&Sour Cabbage",????\n?????\n????,Chinese,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
98,"Set A1 w bun (Kung Pao Chicken, Braised Beef w Potato, Fried Cabbage",???? ???? ????,Chinese,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
99,"Set A1 w rice (Kung Pao Chicken, Braised Beef w Potato, Fried Cabbage",???? ???? ????,Chinese,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
100,"Set A2 w 2 buns (Braised Fish Fillets, Lotus Roots with Sliced Pork, Broccoli",???? ????? ????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
101,"Set A2 w rice (Braised Fish Fillets, Lotus Roots with Sliced Pork, Broccoli",???? ????? ????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
102,"Set A3 w bun (Vermicelli with Minced Pork, Braised Pork Belly, Fried Amaranth",???? ??? ??,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
103,"Set A3 w rice (Vermicelli with Minced Pork, Braised Pork Belly, Fried Amaranth",???? ??? ??,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
104,"Set A4 w bun (Chicken Leg, Sour & Spicy Potato Slices, Fried Amaranth",??? ????? ??,Chinese,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
105,"Set A4 w rice (Chicken Leg, Sour & Spicy Potato Slices, Fried Amaranth",??? ????? ??,Chinese,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
106,"Set A5 w 1 bun (Spicy Pork Ribs, Sliced Fungus with Meat, Fish Flavoured Eggplant",???? ???? ????,Chinese,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107,"Set A5 w rice (Spicy Pork Ribs, Sliced Fungus with Meat, Fish Flavoured Eggplant",???? ???? ????,Chinese,2,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
108,Set A6 Spicy Pork Ribs Noodle (Soup,??? (?,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
109,Set A7 [Vegetarian] Tomato Egg Noodle (Soup,[?] ????? (?,Chinese,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
110,Set A8 Double Cooked Sliced Pork Fried Rice,?????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
111,Set B1 [Halal] Beef & Ebi Bento,??????????,Japanese,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
112,Set B1 [Halal] Braised Chicken w/ Noodle,??????????,Local Items,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
113,Set B1 [Halal] Omurice w/ Fish Fillet,[??] ??????,Japanese,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
114,Set B1 [Halal] Saba Shioyaki Set,??????????,Japanese,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
115,Set B1 [Halal] Shrimp & Saba Bento,??????????,Japanese,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
116,Set B1 Bean Paste Chicken Wings,???????,Thai,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
117,Set B1 Clear Tomyam Seafood Soup w/ Rice,???????,Thai,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
118,"Set B1 w bun (Double Cooked Sliced Pork, Braised Beef w Potato, Dry Tofu with Celery",??? ???? ????,Chinese,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
119,"Set B1 w rice (Double Cooked Sliced Pork, Braised Beef w Potato, Dry Tofu with Celery",??? ???? ????,Chinese,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
120,Set B2 [Halal] Beef & Chicken Bento,??????????,Japanese,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
121,Set B2 [Halal] Fuqi Feipian (Beef,[??] ???????,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
122,Set B2 [Halal] Omurice w/ Ebi,??????????,Japanese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
